Station,Year,Month,Day,Max Temp. (degree Celcius),Min Temp. (degree Celcius),Rainfall (mm),Actual Evaporation (mm),"Relative Humidity (morning, %)","Relative Humidity (afternoon, %)",Sunshine (hour/day),Cloudy (hour/day),Solar Radiation (cal/cm^2/day),MAX_WL(m),MIN_WL(m),AVE_WL(m)
Barisal,2017,9,17,35.8,27,34.6,4.6,96,84,3.6,8.6,272.9547541,    1.74,     .80,    1.27
Barisal,2017,9,18,31.2,24.2,49.6,3.6,96,87,6.3,5.9,355.7208197,    1.88,     .89,    1.34
Barisal,2017,9,19,30.4,25.2,19,3,96,77,5,7.2,315.8704918,    2.03,    1.01,    1.50
Barisal,2017,9,20,29,25.2,6,2,96,92,2.9,9.3,251.4968852,    2.34,    1.08,    1.80
Barisal,2017,9,21,30.6,26,0,2,96,92,1.5,10.7,208.5811475,    2.36,    1.14,    1.81
Barisal,2017,9,22,34,26.6,0,2,96,71,8.7,3.5,429.2906557,    2.22,    1.12,    1.76
Barisal,2017,9,23,34,26.8,0,2,96,71,7.4,4.8,389.4403279,    2.12,    1.08,    1.72
Barisal,2017,9,24,34.8,27,0,2,92,74,5.5,6.7,331.197541,    1.90,    1.04,    1.48
Barisal,2017,9,25,33,27,0,1,96,78,0.3,11.9,171.7962295,    1.74,    1.01,    1.46
Barisal,2017,9,26,31.6,26.4,0,1,96,80,0.3,11.9,171.7962295,    1.68,     .97,    1.33
Barisal,2017,9,27,29.6,26.6,7.4,1.4,96,84,1.1,11.1,196.3195082,    1.63,     .95,    1.31
Barisal,2017,9,28,31.8,25,34,2,96,88,1.3,10.9,202.4503279,    1.60,     .91,    1.28
Barisal,2017,9,29,29.4,24.6,10,2,96,92,1.1,11.1,196.3195082,    1.56,     .89,    1.27
Barisal,2017,9,30,29,25,5.8,1.8,96,92,1.4,10.8,205.5157377,    1.52,     .86,    1.23
Barisal,2017,10,1,32,25,4.6,1.6,96,84,5.4,5.76,303.9772414,    1.63,     .95,    1.32
Barisal,2017,10,2,34.2,24.6,1.6,2.6,96,71,7.6,3.56,368.0124138,    1.73,     .92,    1.37
Barisal,2017,10,3,31.8,26,0,2,96,77,5,6.16,292.3344828,    1.87,     .90,    1.44
Barisal,2017,10,4,35,26,0,2,96,68,8.3,2.86,388.3872414,    1.97,     .88,    1.51
Barisal,2017,10,5,32,24,0,2,96,92,1.2,9.96,181.7282759,    2.05,     .91,    1.54
Barisal,2017,10,6,34.8,26,0,1,96,84,7.2,3.96,356.3696552,    2.09,     .93,    1.57
Barisal,2017,10,7,30.8,26,0,2,91,80,1.7,9.46,196.2817241,    2.16,     .97,    1.65
Barisal,2017,10,8,26.6,25.6,79,3,96,91,0,11.16,146.8,    2.25,     .83,    1.71
Barisal,2017,10,9,28.6,24,14.2,2.2,95,91,2,9.16,205.0137931,    2.21,    1.50,    1.92
Barisal,2017,10,10,33.2,24,0,3,96,74,8.4,2.76,391.297931,    1.97,    1.24,    1.67
Barisal,2017,10,11,34.4,25,0,3,96,62,8,3.16,379.6551724,    1.88,     .94,    1.46
Barisal,2017,10,12,34.6,25.4,0,2,96,62,7.6,3.56,368.0124138,    1.75,     .87,    1.35
Barisal,2017,10,13,35.6,25.8,0,2,96,62,8.3,2.86,388.3872414,    1.63,     .85,    1.26
Barisal,2017,10,14,35.4,25.8,0,2,96,62,7.7,3.46,370.9231034,    1.60,     .83,    1.20
Barisal,2017,10,15,35.4,25.8,0,2,96,74,5.5,5.66,306.887931,    1.56,     .82,    1.20
Barisal,2017,10,16,34.2,25.8,0,2,96,64,0,11.16,146.8,    1.67,     .80,    1.28
Barisal,2017,10,17,34.8,25.2,0,2,96,62,6.4,4.76,333.0841379,    1.74,     .74,    1.31
Barisal,2017,10,18,30.4,26,11.2,3.2,95,69,2.9,8.26,231.21,    1.79,     .75,    1.36
Barisal,2017,10,19,30.4,24,21.4,1.4,95,87,1.8,9.36,199.1924138,    2.01,    1.00,    1.61
Barisal,2017,10,20,25,24.4,181.6,0,100,96,0,11.16,146.8,    2.48,    1.69,    2.08
Barisal,2017,10,21,25.6,23.8,29.2,3.2,100,96,0,11.16,146.8,    2.69,    1.91,    2.33
Barisal,2017,10,22,28.4,21.6,0,3,95,79,5.8,5.36,315.62,    2.26,    1.37,    1.85
Barisal,2017,10,23,32,22.4,0,3,95,77,7.6,3.56,368.0124138,    2.05,    1.13,    1.67
Barisal,2017,10,24,32.4,24,0,3,96,74,6.1,5.06,324.352069,    1.96,    1.12,    1.64
Barisal,2017,10,25,32.4,23,0,3,95,63,5.8,5.36,315.62,    1.90,    1.07,    1.53
Barisal,2017,10,26,31.8,23.2,0,2,95,60,6.2,4.96,327.2627586,    1.68,    1.06,    1.34
Barisal,2017,10,27,31,21.8,0,2,95,59,6.8,4.36,344.7268966,    1.52,     .80,    1.21
Barisal,2017,10,28,30.6,21,0,2,95,69,6.7,4.46,341.8162069,    1.49,     .78,    1.19
Barisal,2017,10,29,28.6,21.6,1.2,2.2,95,71,2.9,8.26,231.21,    1.38,     .80,    1.16
Barisal,2017,10,30,21,20.6,4.4,1.4,95,90,0,11.16,146.8,    1.37,     .76,    1.11
Barisal,2017,10,31,28.2,18.4,0,2,95,60,6.8,4.36,344.7268966,    1.53,     .69,    1.13
Barisal,2017,11,1,31,19.6,0,4,95,63,7.3,3.7,313.7743636,    1.62,     .65,    1.16
Barisal,2017,11,2,31,20,0,2,95,59,6.6,3.7,295.596,    1.73,     .61,    1.20
Barisal,2017,11,3,32,20,0,2,95,61,7.1,3.7,308.5805455,    1.84,     .57,    1.22
Barisal,2017,11,4,33.8,21,0,2,95,58,7,3.7,305.9836364,    1.92,     .53,    1.21
Barisal,2017,11,5,33.6,21.6,0,2,95,58,7.2,3.7,311.1774545,    1.86,     .49,    1.31
Barisal,2017,11,6,33,21.6,0,2,95,55,7.2,3.7,311.1774545,    1.78,     .40,    1.16
Barisal,2017,11,7,32.6,21.2,0,2,95,54,7.8,3.7,326.7589091,    1.67,     .43,    1.13
Barisal,2017,11,8,32.6,20.8,0,2,95,54,7.4,3.7,316.3712727,    1.54,     .40,    1.05
Barisal,2017,11,9,31.8,20.8,0,2,95,50,7.3,3.7,313.7743636,    1.42,     .37,     .95
Barisal,2017,11,10,31.2,20.6,0,3,95,57,7.2,3.7,311.1774545,    1.30,     .35,     .87
Barisal,2017,11,13,32.4,20.2,0,2,95,57,6.9,3.7,303.3867273,    1.23,     .28,     .74
Barisal,2017,11,14,32.8,21,0,3,90,57,5.3,3.7,261.8361818,    1.32,     .25,     .83
Barisal,2017,11,15,26,21.4,8.6,1.6,90,83,0,3.7,124.2,    1.44,     .24,     .69
Barisal,2017,11,16,24.6,20.8,0.2,1.2,95,91,0,3.7,124.2,    1.53,     .22,     .79
Barisal,2017,11,17,27,21,5,1,95,82,0,3.7,124.2,    1.58,     .24,     .81
Barisal,2017,11,18,29.6,22,0,2,95,69,4.4,3.7,238.464,    1.53,     .21,     .81
Barisal,2017,11,19,31.4,22.4,0,1,95,60,6.1,3.7,282.6114545,    1.50,     .20,     .82
Barisal,2017,11,20,29.6,20.8,0,1,95,57,6.8,3.7,300.7898182,    1.47,     .18,     .83
Barisal,2017,11,21,28.8,20.4,0,2,90,60,7,3.7,305.9836364,    1.40,     .18,     .85
Barisal,2017,11,22,27.4,15.8,0,2,94,59,6.6,3.7,295.596,    1.32,     .17,     .84
Barisal,2017,11,25,27.8,15.6,0,1,94,53,5.6,3.7,269.6269091,    1.17,     .13,     .67
Barisal,2017,11,26,27.8,15,0,1,94,56,6.3,3.7,287.8052727,    1.15,     .12,     .64
Barisal,2017,11,27,28.2,15.4,0,1,94,56,6.6,3.7,295.596,    1.16,     .10,     .62
Barisal,2017,11,28,26.8,14.6,13.8,1,94,56,6.4,3.7,290.4021818,    1.17,     .11,     .59
Barisal,2017,11,29,26,15,0.552,1,94,55,6,3.7,280.0145455,    1.19,     .12,     .61
Barisal,2017,11,30,26.4,15,0,2,94,55,5.9,3.7,277.4176364,    1.24,     .12,     .64
Barisal,2017,12,1,27.6,14.2,0,1,94,56,6.6,4.1,274.2796262,    1.39,     .14,     .71
Barisal,2017,12,2,29,14.8,0,1,94,57,6.8,3.9,279.1547664,    1.45,     .15,     .77
Barisal,2017,12,3,27.4,15.2,0,2,94,53,6.8,3.9,279.1547664,    1.49,     .18,     .81
Barisal,2017,12,4,27.2,14.8,0,1,94,55,6.6,4.1,274.2796262,    1.52,     .16,     .87
Barisal,2017,12,5,27.4,14.8,0,1,94,56,6.7,4,276.7171963,    1.54,     .19,     .92
Barisal,2017,12,6,26.2,15,0,1,94,53,6.3,4.4,266.9669159,    1.58,     .21,     .96
Barisal,2017,12,7,26.8,14.8,0,2,94,56,5.8,4.9,254.7790654,    1.51,     .22,     .91
Barisal,2017,12,8,23.4,15,6,1,90,80,0,10.7,113.4,    1.47,     .21,     .86
Barisal,2017,12,9,22.4,18.8,37,2,95,90,0,10.7,113.4,    1.40,     .18,     .81
Barisal,2017,12,10,24.4,19.8,26.2,0,95,95,2,8.7,162.1514019,    1.48,     .32,     .79
Barisal,2017,12,11,22.8,20.6,0,1,95,55,0,10.7,113.4,    1.47,     .26,     .72
Barisal,2017,12,12,25.6,20.2,0,1,95,78,4.7,6,227.9657944,    1.08,     .25,     .64
Barisal,2017,12,13,26.6,17.6,0,1,94,74,5.8,4.9,254.7790654,    1.10,     .23,     .67
Barisal,2017,12,14,26.2,18,0,1,95,60,6.4,4.3,269.404486,    1.12,     .21,     .68
Barisal,2017,12,15,25.8,16,0,1,94,57,6.5,4.2,271.8420561,    1.16,     .20,     .69
Barisal,2017,12,16,25.8,13.8,0,1,94,60,6.3,4.4,266.9669159,    1.19,     .17,     .70
Barisal,2017,12,17,25,14.2,0,1,94,62,6.1,4.6,262.0917757,    1.22,     .15,     .72
Barisal,2017,12,18,24.4,15,0,1,94,69,5,5.7,235.2785047,    1.25,     .14,     .73
Barisal,2017,12,19,21,15.2,0,1,94,76,1.4,9.3,147.5259813,    1.31,     .13,     .75
Barisal,2017,12,20,23,14.8,0,1,94,65,5,5.7,235.2785047,    1.32,     .12,     .76
Barisal,2017,12,21,25.8,14.4,0,1,94,58,6.4,4.3,269.404486,    1.21,     .12,     .74
Barisal,2017,12,22,24.8,14.4,0,1,94,61,4.2,6.5,215.7779439,    1.17,     .11,     .71
Barisal,2017,12,23,25.4,15,0,1,94,65,5.8,4.9,254.7790654,    1.12,     .13,     .68
Barisal,2017,12,24,25,14.8,0,2,94,58,6.4,4.3,269.404486,    1.13,     .12,     .66
Barisal,2017,12,25,25.2,14,0,2,94,62,6.3,4.4,266.9669159,    1.14,     .11,     .64
Barisal,2017,12,26,25,14.4,0,1,94,66,5.9,4.8,257.2166355,    1.14,     .10,     .62
Barisal,2017,12,27,25.6,12.2,0,1,94,62,6.5,4.2,271.8420561,    1.17,     .07,     .59
Barisal,2017,12,28,23.4,14.4,0,1,94,78,3,7.7,186.5271028,    1.20,     .09,     .57
Barisal,2017,12,29,23.6,15.2,0,1,94,76,3.5,7.2,198.7149533,    1.24,     .00,     .55
Barisal,2017,12,30,26.6,15,0,1,94,65,5.7,5,252.3414953,    1.29,    -.08,     .55
Barisal,2017,12,31,27.4,14.8,0,1,94,55,6.7,4,276.7171963,    1.36,    -.14,     .56
Barisal,2018,1,1,24,15.6,0,2,94,61,2.5,8.3,181.74,    1.40,    -.16,     .59
Barisal,2018,1,2,25.6,16,0,1,89,62,4.8,6,239.84,    1.45,    -.17,     .62
Barisal,2018,1,3,23.8,13.6,0,1,94,53,6.8,4,290.35,    1.48,    -.18,     .66
Barisal,2018,1,4,21.2,11.8,0,2,93,53,6.6,4.2,285.3,    1.43,    -.17,     .67
Barisal,2018,1,5,20.6,10.8,0,1,93,53,4.8,6,239.84,    1.29,    -.15,     .66
Barisal,2018,1,6,22.6,11.8,0,1,93,56,6.7,4.1,287.82,    1.20,    -.14,     .60
Barisal,2018,1,7,20.6,9.4,0,1,93,44,6.8,4,290.35,    1.03,    -.13,     .53
Barisal,2018,1,8,19.4,8.4,0,1,92,51,6.6,4.2,285.3,     .81,    -.10,     .42
Barisal,2018,1,9,22,8,0,2,92,54,6.7,4.1,287.82,     .75,    -.09,     .40
Barisal,2018,1,10,22.2,8.4,0,1,93,46,6.9,3.9,292.88,     .78,    -.08,     .38
Barisal,2018,1,11,19.8,8.6,0,1,93,47,4.8,6,239.84,     .89,    -.11,     .35
Barisal,2018,1,12,21.2,8.4,0,1,92,47,4.5,6.3,232.26,     .97,    -.13,     .37
Barisal,2018,1,13,20.8,8.6,0,1,93,60,4.4,6.4,229.73,    1.06,    -.16,     .42
Barisal,2018,1,14,19,11.6,0,1,93,74,0.2,10.6,123.65,    1.10,    -.18,     .45
Barisal,2018,1,15,20,11.2,0,1,93,66,3.8,7,214.58,    1.12,    -.21,     .46
Barisal,2018,1,16,23,10.8,0,1,93,56,6.4,4.4,280.25,    1.14,    -.22,     .50
Barisal,2018,1,17,24,11.2,0,1,93,52,6.1,4.7,272.67,    1.16,    -.24,     .52
Barisal,2018,1,18,24.8,12,0,1,93,60,5.7,5.1,262.57,    1.17,    -.26,     .53
Barisal,2018,1,19,25.2,11.8,0,1,93,57,6.7,4.1,287.82,    1.13,    -.27,     .53
Barisal,2018,1,20,24,11,0,2,93,52,6.8,4,290.35,    1.11,    -.29,     .50
Barisal,2018,1,21,24,10.8,0,2,93,49,6.9,3.9,292.88,    1.03,    -.32,     .43
Barisal,2018,1,22,23,11,0,2,93,56,6.2,4.6,275.2,     .97,    -.35,     .39
Barisal,2018,1,23,25.8,11.2,0,1,93,58,6,4.8,270.14,     .95,    -.37,     .34
Barisal,2018,1,24,26.4,11.6,0,1,93,45,6.6,4.2,285.3,     .88,    -.30,     .32
Barisal,2018,1,25,25.8,13.8,0,2,94,58,4.6,6.2,234.78,     .84,    -.33,     .29
Barisal,2018,1,26,26,12.8,0,2,94,59,6.8,4,290.35,     .83,    -.32,     .26
Barisal,2018,1,27,24,12.4,0,1,87,55,5.1,5.7,247.41,     .87,    -.30,     .25
Barisal,2018,1,28,24.6,10.8,0,2,93,49,7.2,3.6,300.45,     .90,    -.29,     .25
Barisal,2018,1,29,25.4,11,0,2,93,45,7.2,3.6,300.45,     .88,    -.27,     .29
Barisal,2018,1,30,26,11.2,0,2,93,47,7.4,3.4,305.5,    1.02,    -.29,     .32
Barisal,2018,1,31,26,12,0,2,94,45,7.4,3.4,305.5,    1.06,    -.31,     .37
Barisal,2018,2,1,26.6,12,NIL,1,94,52,6.7,4.5,332.63,    1.31,    -.13,     .54
Barisal,2018,2,2,26.4,13.4,NIL,1,94,55,5.6,5.6,301,    1.33,    -.10,     .61
Barisal,2018,2,3,27,14,NIL,2,94,60,6.3,4.9,321.13,    1.44,    -.20,     .63
Barisal,2018,2,4,29.4,14.2,NIL,1,94,56,4.7,6.5,275.13,    1.27,    -.21,     .55
Barisal,2018,2,5,28.8,14.8,NIL,2,95,47,4.9,6.3,280.88,    1.18,    -.23,     .49
Barisal,2018,2,6,28.2,19.4,NIL,1,95,72,3.6,7.6,243.5,    1.06,    -.28,     .41
Barisal,2018,2,7,29.7,19.8,NIL,2,95,44,4.7,6.5,275.13,     .77,    -.19,     .31
Barisal,2018,2,8,27,20.4,NIL,2,95,68,3.7,7.5,246.38,     .61,    -.23,     .23
Barisal,2018,2,9,29,16,NIL,2,94,46,6.5,4.7,326.88,     .57,    -.24,     .16
Barisal,2018,2,10,27.6,17,NIL,1,95,70,2.6,8.6,214.75,     .47,    -.26,     .11
Barisal,2018,2,11,27.4,17.4,NIL,2,83,43,5.7,5.5,303.88,     .52,    -.27,     .12
Barisal,2018,2,12,29.6,13.8,NIL,2,87,36,8.2,3,375.75,     .55,    -.28,     .15
Barisal,2018,2,13,29.4,14,NIL,3,88,38,8.4,2.8,381.5,     .58,    -.33,     .18
Barisal,2018,2,14,29.8,16.4,NIL,3,88,44,8.4,2.8,381.5,     .64,    -.30,     .24
Barisal,2018,2,15,28.2,17,NIL,3,89,46,8.2,3,375.75,     .81,    -.31,     .28
Barisal,2018,2,16,28.8,14,NIL,3,88,49,8.5,2.7,384.38,    1.05,    -.33,     .35
Barisal,2018,2,17,29.2,17,NIL,3,94,47,8.6,2.6,387.25,    1.12,    -.35,     .41
Barisal,2018,2,18,30.2,14.6,NIL,3,94,44,8.2,3,375.75,    1.06,    -.34,     .43
Barisal,2018,2,19,31.6,16.2,NIL,2,94,45,8,3.2,370,    1.00,    -.33,     .42
Barisal,2018,2,20,31.2,17.8,NIL,3,95,45,7.6,3.6,358.5,     .87,    -.32,     .39
Barisal,2018,2,21,31.6,17.8,NIL,2,95,42,7.9,3.3,367.13,     .86,    -.31,     .38
Barisal,2018,2,22,32,18.6,NIL,3,95,55,7.2,4,347,     .97,    -.30,     .41
Barisal,2018,2,23,32,19,NIL,3,95,47,5.8,5.4,306.75,     .94,    -.28,     .38
Barisal,2018,2,24,33,21,NIL,2,95,56,7.6,3.6,358.5,     .84,    -.27,     .32
Barisal,2018,2,25,34.2,21.2,NIL,3,95,51,7.3,3.9,349.88,     .70,    -.28,     .32
Barisal,2018,2,26,31.2,20.8,NIL,3,95,57,5.3,5.9,292.38,     .74,    -.26,     .32
Barisal,2018,2,27,32.8,19.4,NIL,2,95,51,8.5,2.7,384.38,    1.10,    -.21,     .36
Barisal,2018,2,28,32,20,NIL,2,95,51,4.3,6.9,263.63,    1.27,    -.18,     .44
Barisal,2018,3,1,32.26,21.4,NIL,3,95,84,7.8,4.1,412.74,    1.41,    -.14,     .51
Barisal,2018,3,2,34,20.8,NIL,3,95,54,7.9,4,415.93,    1.47,    -.11,     .59
Barisal,2018,3,3,34.4,21.2,NIL,3,95,58,7.8,4.1,412.74,    1.58,    -.09,     .67
Barisal,2018,3,4,35.8,23,NIL,4,95,56,7.1,4.8,390.48,    1.49,    -.12,     .69
Barisal,2018,3,5,35,23.2,NIL,3,95,55,7.4,4.5,400.02,    1.44,    -.13,     .72
Barisal,2018,3,6,36.6,22.2,NIL,4,85,38,8.1,3.8,422.29,    1.39,    -.13,     .67
Barisal,2018,3,7,34,21,NIL,4,90,39,8.8,3.1,444.56,    1.31,    -.15,     .59
Barisal,2018,3,8,33.4,18,NIL,4,84,31,9.2,2.7,457.28,    1.22,    -.16,     .53
Barisal,2018,3,9,32.4,17.6,NIL,3,89,49,8.9,3,447.74,    1.06,    -.17,     .46
Barisal,2018,3,10,34.6,17.8,NIL,4,95,42,9,2.9,450.92,     .94,    -.18,     .41
Barisal,2018,3,11,35.2,18,NIL,4,89,44,9.1,2.8,454.1,     .96,    -.17,     .38
Barisal,2018,3,12,35.4,22.2,NIL,5,95,42,8.4,3.5,431.83,     .99,    -.18,     .35
Barisal,2018,3,13,34,22.6,NIL,4,95,63,6.9,5,384.11,    1.01,    -.21,     .39
Barisal,2018,3,14,35.6,23,NIL,3,95,55,8.3,3.6,428.65,    1.08,    -.20,     .43
Barisal,2018,3,15,35.6,23.6,NIL,3,95,53,8.3,3.6,428.65,    1.16,    -.22,     .46
Barisal,2018,3,16,34.4,24.6,NIL,4,95,56,9,2.9,450.92,    1.25,    -.24,     .49
Barisal,2018,3,17,33,23.4,NIL,3,95,53,8.2,3.7,425.47,    1.37,    -.25,     .55
Barisal,2018,3,18,35,23,NIL,2,91,56,8.2,3.7,425.47,    1.43,    -.26,     .59
Barisal,2018,3,19,35,23,NIL,4,95,44,9,2.9,450.92,    1.47,    -.28,     .62
Barisal,2018,3,20,35.6,19,NIL,4,95,44,8.7,3.2,441.38,    1.42,    -.31,     .64
Barisal,2018,3,21,35.2,20.6,NIL,3,90,50,7.8,4.1,412.74,    1.38,    -.39,     .59
Barisal,2018,3,22,34.8,23,NIL,3,95,50,6.6,5.3,374.57,    1.27,    -.35,     .45
Barisal,2018,3,23,35,22.8,NIL,3,91,49,7.3,4.6,396.84,    1.14,    -.33,     .46
Barisal,2018,3,24,33.8,22.8,NIL,3,95,44,6.1,5.8,358.66,    1.02,    -.31,     .40
Barisal,2018,3,25,35.6,23.8,NIL,3,96,47,7.4,4.5,400.02,     .93,    -.27,     .36
Barisal,2018,3,26,33.6,24.8,NIL,4,96,56,6.9,5,384.11,     .96,    -.29,     .34
Barisal,2018,3,27,35,24.6,NIL,3,91,50,8.5,3.4,435.01,    1.04,    -.30,     .33
Barisal,2018,3,28,35.4,23.8,NIL,4,95,53,7.2,4.7,393.66,    1.12,    -.27,     .41
Barisal,2018,3,29,35,23.6,NIL,3,95,58,8.4,3.5,431.83,    1.33,    -.24,     .48
Barisal,2018,3,30,35,24,20,4,91,63,8.5,3.4,435.01,    1.44,    -.22,     .55
Barisal,2018,3,31,35,24,2,5,95,48,6.9,5,384.11,    1.49,    -.19,     .65
Barisal,2018,4,1,35,20,NIL,3,95,52,9.8,2.8,494.19,    1.58,    -.19,     .71
Barisal,2018,4,2,35,20,NIL,3,85,64,0.3,12.3,186.9,    1.52,    -.24,     .75
Barisal,2018,4,3,35,20,NIL,4,95,63,8.4,4.2,448.91,    1.45,    -.30,     .68
Barisal,2018,4,4,35,20,NIL,3,86,58,7.1,5.5,406.86,    1.31,    -.29,     .60
Barisal,2018,4,5,35,21,0.2,2.2,95,57,9.1,3.5,471.55,     .94,    -.29,     .47
Barisal,2018,4,6,34,22,NIL,3,86,64,8.3,4.3,445.67,     .84,    -.28,     .37
Barisal,2018,4,7,34,22,22.8,1.8,95,47,3.8,8.8,300.11,     .53,    -.26,     .21
Barisal,2018,4,8,34,19,NIL,3,95,77,8.3,4.3,445.67,     .32,    -.20,     .03
Barisal,2018,4,9,34,21,NIL,3,96,80,7,5.6,403.62,     .44,    -.05,     .13
Barisal,2018,4,10,32,19,NIL,4,86,72,5.9,6.7,368.04,     .67,    -.04,     .25
Barisal,2018,4,11,34,24,NIL,3,91,96,8.6,4,455.38,     .80,    -.03,     .36
Barisal,2018,4,12,35,21,1.2,4.2,82,77,9.4,3.2,481.25,     .97,    -.01,     .42
Barisal,2018,4,13,30,21.5,NIL,4,90,88,9.4,3.2,481.25,    1.09,    -.03,     .48
Barisal,2018,4,14,36,26,11.5,3.6,96,64,8.7,3.9,458.61,    1.24,    -.06,     .53
Barisal,2018,4,15,34.5,22,NIL,4,91,56,9.7,2.9,490.96,    1.40,    -.11,     .60
Barisal,2018,4,16,36,24,NIL,5,91,54,8.9,3.7,465.08,    1.52,    -.16,     .66
Barisal,2018,4,17,34,24,NIL,5.4,96,36,4.8,7.8,332.46,    1.57,    -.17,     .73
Barisal,2018,4,18,34,20,NIL,4,95,58,8.5,4.1,452.14,    1.61,    -.19,     .77
Barisal,2018,4,19,33,20,NIL,5,82,71,7.4,5.2,416.56,    1.56,    -.16,     .80
Barisal,2018,4,20,34,26,NIL,5,96,62,8.6,4,455.38,    1.45,    -.17,     .76
Barisal,2018,4,21,35,26,NIL,2,87,70,6.8,5.8,397.15,    1.35,    -.18,     .66
Barisal,2018,4,22,34.4,25,8.6,3.6,96,69,4.7,7.9,329.23,    1.08,    -.19,     .55
Barisal,2018,4,23,35,23.4,NIL,4,96,67,7.9,4.7,432.73,     .97,    -.19,     .46
Barisal,2018,4,24,35,27,NIL,4,92,65,8,4.6,435.97,    1.01,    -.18,     .39
Barisal,2018,4,25,34.6,26,0.6,2.6,96,62,8.8,3.8,461.85,    1.09,    -.16,     .44
Barisal,2018,4,26,34.6,21.8,NIL,4,86,53,9.1,3.5,471.55,    1.21,    -.14,     .53
Barisal,2018,4,27,34,22.8,NIL,4,90,58,8.8,3.8,461.85,    1.23,    -.33,     .52
Barisal,2018,4,28,35.2,25.2,NIL,5,92,50,8.3,4.3,445.67,    1.42,    -.34,     .69
Barisal,2018,4,29,34,25.6,12.4,2.4,70,70,5.4,7.2,351.87,    1.58,    -.28,     .82
Barisal,2018,4,30,31.8,22,31.6,2.6,96,58,3.8,8.8,300.11,    1.71,    -.17,     .91
Barisal,2018,5,1,31.6,21,NIL,NIL,95,72,7.8,5.4,440.68,    1.58,    -.12,     .83
Barisal,2018,5,2,34.6,23.4,18,NIL,92,64,8.8,4.4,473.23,    1.45,    -.08,     .82
Barisal,2018,5,3,31.4,21,NIL,NIL,100,74,7.9,5.3,443.93,    1.32,    -.06,     .83
Barisal,2018,5,4,32,23.6,5.6,NIL,96,72,5.8,7.4,375.58,    1.59,     .05,     .90
Barisal,2018,5,5,32.6,23.4,NIL,NIL,96,76,5,8.2,349.54,    1.34,     .07,     .89
Barisal,2018,5,6,32.6,23.4,9,NIL,100,70,6.9,6.3,411.38,    1.17,     .21,     .80
Barisal,2018,5,7,30.8,24.6,NIL,NIL,87,77,4.1,9.1,320.25,    1.15,     .33,     .82
Barisal,2018,5,8,33,24.8,NIL,NIL,96,74,6.6,6.6,401.62,    1.12,     .51,     .79
Barisal,2018,5,9,32.6,27,NIL,NIL,92,68,7.8,5.4,440.68,    1.06,     .53,     .77
Barisal,2018,5,10,33.2,26.8,9.6,NIL,92,65,5,8.2,349.54,    1.13,     .28,     .71
Barisal,2018,5,11,33,23.2,21.6,NIL,95,71,7.2,6,421.15,    1.24,     .26,     .72
Barisal,2018,5,12,32,20.2,13.6,NIL,95,61,8.4,4.8,460.21,    1.41,     .25,     .86
Barisal,2018,5,13,33.8,23,3.6,NIL,96,79,2,11.2,251.9,    1.55,     .22,     .92
Barisal,2018,5,14,33,23,NIL,NIL,95,70,7.1,6.1,417.89,    1.74,     .13,    1.02
Barisal,2018,5,15,34,24.6,NIL,NIL,92,64,8.6,4.6,466.72,    1.84,     .15,    1.14
Barisal,2018,5,16,25,25,24.4,NIL,86,86,0,13.2,186.8,    1.87,     .38,    1.23
Barisal,2018,5,17,32.4,21,NIL,NIL,95,66,8.7,4.5,469.97,    1.95,     .29,    1.18
Barisal,2018,5,18,29,24.4,78.2,NIL,96,76,0.8,12.4,212.84,    1.94,     .38,    1.09
Barisal,2018,5,19,29.8,23,NIL,NIL,96,77,7.7,5.5,437.42,    1.73,     .45,    1.22
Barisal,2018,5,20,33,26.2,18.8,NIL,96,83,1.7,11.5,242.13,    1.60,     .36,    1.11
Barisal,2018,5,21,27.6,23,0.6,NIL,96,92,1.3,11.9,229.11,    1.38,     .40,    1.00
Barisal,2018,5,22,30.8,25,23,NIL,96,83,2.7,10.5,274.68,    1.18,     .41,     .83
Barisal,2018,5,23,28.2,26,10.8,NIL,96,84,1.3,11.9,229.11,    1.12,     .49,     .82
Barisal,2018,5,24,29.4,24.2,9.6,NIL,96,77,2,11.2,251.9,    1.27,     .45,     .87
Barisal,2018,5,25,32.4,24.8,NIL,NIL,96,74,7.8,5.4,440.68,    1.42,     .41,     .84
Barisal,2018,5,26,34,27.4,NIL,NIL,96,61,9,4.2,479.74,    1.51,     .41,     .99
Barisal,2018,5,27,34.8,26.8,NIL,NIL,92,67,9.6,3.6,499.27,    1.60,     .35,    1.05
Barisal,2018,5,28,35.2,27,0.4,NIL,96,65,8.4,4.8,460.21,    1.71,     .13,    1.02
Barisal,2018,5,29,34.2,24.8,NIL,NIL,91,71,8,5.2,447.19,    1.79,     .15,    1.14
Barisal,2018,5,30,35.6,25.2,NIL,NIL,92,68,7.9,5.3,443.93,    1.87,     .26,    1.21
Barisal,2018,5,31,32.6,27.4,9.8,NIL,92,74,1.9,11.3,248.64,    1.93,     .41,    1.25
Barisal,2018,6,1,33.4,25.8,71.6,0,96,71,4.5,9,334.25,    1.64,     .34,    1.16
Barisal,2018,6,2,32.2,23.6,7.2,3.2,96,74,5.2,8.3,356.82,    1.76,     .31,    1.13
Barisal,2018,6,3,33,26.2,1.2,4.2,96,81,6.1,7.4,385.83,    1.66,     .34,    1.13
Barisal,2018,6,4,32.6,27.2,6.4,3.4,92,74,4.4,9.1,331.03,    1.53,     .38,    1.08
